Библиотека типов и свойств сталей (Cеренсен)
Номер  Марка           SgmV        Tay-1      Sgm-1    Ro   Признак легированности (0/1)
0      Сталь 10        1000         80        160    7800     0 
1      Сталь 20        1000        100        170    7800     0
2      Сталь 45        1000        150        250    7800     0 
3      Сталь 20Х       1000        160        280    7800     1 
4      Сталь 40Г       1000        200        330    7800     1
5      Сталь 45Г       1000        220        410    7800     1
6      Сталь 50Г       1000        210        340    7800     1
7      Сталь 38ХГН     1000        240        400    7800     1
8      Сталь 40Х       1000        225        350    7800     1
9      Сталь 45Г2      1000        230        380    7800     1
10     Сталь 40ХН      1000        240        400    7800     1
11     Сталь 35ХМ      1000        225        350    7800     1
12     Сталь 12ХН3А    1000        220        390    7800     1
13     Сталь 12Х2Н4А   1000        250        500    7800     1
14     Сталь 18ХГТ     1000        280        520    7800     1
15     Сталь 18ХН3А    1000        330        540    7800     1
16     Сталь 30ХГТ     1000        310        520    7800     1
17     Сталь 20ХН3А    1000        245        430    7800     1
18     Сталь 40Х2Н2МА  1000        240        520    7800     1
19     Сталь 25ХН3А    1000        280        460    7800     1
20     Сталь 30ХГСА    1000        220        510    7800     1
21     Сталь 38ХH3МА   1000        290        430    7800     1
22     Чугун СЧ  30    1000          0          0    7800     0
23     Чугун СЧ  35    1000          0          0    7800     0
