Библиотека типов и свойств сталей
Номер  Марка           SgmV      Tay-1      Sgm-1    Ro   Признак легированности (0/1)
0      Сталь 35        1000      300       1000    7800     0 
1      Сталь 40        1000      301       1001    7800     0 
2      Сталь 50        1000      302       1002    7800     0
3      Сталь 35Г       1000      303       1003    7800     1 
4      Сталь 40Г       1000      304       1004    7800     1
5      Сталь 45Г       1000      305       1005    7800     1
6      Сталь 50Г       1000      306       1006    7800     1
7      Сталь 38ХГН     1000      307       1007    7800     1
8      Сталь 40Х       1000      308       1008    7800     1
9      Сталь 45Г2      1000      309       1009    7800     1
10     Сталь 40ХН      1000      300       1000    7800     1
11     Сталь 35ХМ      1000      301       1001    7800     1
12     Сталь 30ХН2МА   1000      302       1002    7800     1
13     Сталь 40ХН2МА   1000      303       1003    7800     1
14     Сталь 18Х2Н4МА  1000      304       1004    7800     1
15     Сталь 30ХМА     1000      305       1005    7800     1
16     Сталь 20ХН3А    1000      306       1006    7800     1
17     Сталь 38Х2МЮА   1000      307       1007    7800     1
18     Сталь 40Х2Н2МА  1000      308       1008    7800     1
19     Сталь 25Х2Н4МА  309       1009    7800     1
20     Сталь 38Х2МЮА   300       1000    7800     1
21     Сталь 38ХH3МА   228        380    7800     1
22     Чугун СЧ  30    301       1001    7800     0
23     Чугун СЧ  35    302       1002    7800     0
