43,032	63,359	-1,837e-016	-0,52787
42,282	62,06	-1,5	2,7894
41,532	60,761	2,7733e-032	-0,40299
42,282	62,06	1,5	2,7452
42,812	62,978	-1,0607	0,66044
41,751	61,141	-1,0607	0,96399
41,751	61,141	1,0607	1,3549
42,812	62,978	1,0607	0,44165
121,75	17,911	0,	-3,7377
120,25	15,313	0,	-2,549
119,7	17,362	1,5	4,6064
120,73	18,088	0,96898	-1,0554
119,59	16,105	0,96898	-3,2191
119,7	17,362	-1,5	5,4204
119,59	16,105	-0,96898	-4,2283
120,73	18,088	-0,96898	5,0416e-002
29,	-4,1516e-015	-33,9	1,2479
29,	-2,9961	-33,767	-0,98142
29,	-5,9687	-33,37	-2,5263
29,	-8,8946	-32,712	-3,8385
29,	-11,751	-31,798	-4,3813
29,	-14,515	-30,635	-3,5187
29,	-17,166	-29,232	-5,5881
29,	-19,682	-27,601	-6,4803
29,	-22,045	-25,753	-6,1816
29,	-24,235	-23,704	-8,9409
29,	-26,235	-21,47	-7,8233
29,	-28,03	-19,067	-7,4326
29,	-29,605	-16,515	-6,0766
29,	-30,949	-13,834	-6,746
29,	-32,05	-11,045	-6,4128
29,	-32,901	-8,1688	-6,3642
29,	-33,494	-5,229	-7,4502
29,	-33,825	-2,2483	-6,1613
29,	-33,892	0,74994	-7,2336
29,	-33,693	3,7424	-6,9509
29,	-33,23	6,7055	-7,4461
29,	-32,508	9,6161	-5,1399
29,	-31,53	12,452	-8,9916
29,	-30,307	15,189	-5,9278
29,	-28,846	17,809	-5,7631
29,	-27,159	20,288	-7,7755
29,	-25,259	22,609	-7,4164
29,	-23,162	24,753	-6,2073
29,	-20,884	26,703	-6,631
29,	-18,442	28,445	-8,0207
29,	-15,856	29,963	-3,9892
29,	-13,146	31,247	-3,6289
29,	-10,333	32,287	-2,8715
29,	-7,439	33,074	-2,9176
29,	-4,4868	33,602	-1,4479
29,	-1,4995	33,867	1,1382
29,	1,4995	33,867	1,4786
29,	4,4868	33,602	2,1413
29,	7,439	33,074	2,248
29,	10,333	32,287	1,9003
29,	13,146	31,247	1,5538
29,	15,856	29,963	0,37797
29,	18,442	28,445	-1,5663
29,	20,884	26,703	-3,8629
29,	23,162	24,753	-7,4148
29,	25,259	22,609	-9,7941
29,	27,159	20,288	-15,33
29,	28,846	17,809	-17,727
29,	30,307	15,189	-20,469
29,	31,53	12,452	-27,365
29,	32,508	9,6161	-25,298
29,	33,23	6,7055	-32,118
29,	33,693	3,7424	-35,705
29,	33,892	0,74994	-29,525
29,	33,825	-2,2483	-30,026
29,	33,494	-5,229	-31,53
29,	32,901	-8,1688	-28,589
29,	32,05	-11,045	-26,141
29,	30,949	-13,834	-25,036
29,	29,605	-16,515	-19,079
29,	28,03	-19,067	-15,717
29,	26,235	-21,47	-13,388
29,	24,235	-23,704	-8,3767
29,	22,045	-25,753	-5,1076
29,	19,682	-27,601	-2,2743
29,	17,166	-29,232	-0,31226
29,	14,515	-30,635	0,95365
29,	11,751	-31,798	1,8741
29,	8,8946	-32,712	1,9425
29,	5,9687	-33,37	2,0993
29,	2,9961	-33,767	1,6127
0,	4,1516e-015	-33,9	-4,6463e-004
0,	4,9359	-33,539	-2,4615e-002
0,	9,7666	-32,463	-3,61e-003
0,	14,389	-30,695	-6,2482e-003
0,	18,705	-28,273	7,8982e-003
0,	22,622	-25,248	1,5738e-002
0,	26,057	-21,685	3,1139e-002
0,	28,937	-17,66	2,6477e-002
0,	31,2	-13,258	4,8459e-002
0,	32,798	-8,5744	7,2162e-002
0,	33,697	-3,7077	4,5863e-002
0,	33,877	1,2381	5,3548e-002
0,	33,336	6,1575	2,2297e-002
0,	32,084	10,946	7,9463e-002
0,	30,149	15,501	2,4633e-002
0,	27,571	19,725	2,3949e-002
0,	24,405	23,529	2,352e-003
0,	20,719	26,832	6,6655e-003
0,	16,591	29,562	5,4029e-004
0,	12,11	31,663	-1,2995e-003
0,	7,3709	33,089	-6,2828e-003
0,	2,4745	33,81	-3,755e-002
0,	-2,4745	33,81	1,2189e-002
