X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
43,032	63,359	-1,837e-016	-0,67343
42,282	62,06	-1,5	6,9822
41,532	60,761	2,7733e-032	-0,33985
42,282	62,06	1,5	7,3837
42,812	62,978	-1,0607	3,9771
41,751	61,141	-1,0607	1,6287
41,751	61,141	1,0607	2,375
42,812	62,978	1,0607	3,0425
121,75	17,911	0,	-1,5786
120,25	15,313	0,	-1,9942
119,7	17,362	1,5	0,30192
120,73	18,088	0,96898	0,59854
119,59	16,105	0,96898	-4,4173
119,7	17,362	-1,5	1,6236
119,59	16,105	-0,96898	-4,9176
120,73	18,088	-0,96898	0,18835
29,	-4,1516e-015	-33,9	0,37006
29,	-2,9961	-33,767	-1,3093
29,	-5,9687	-33,37	-2,1658
29,	-8,8946	-32,712	-3,0086
29,	-11,751	-31,798	-2,629
29,	-14,515	-30,635	-3,7131
29,	-17,166	-29,232	-5,1554
29,	-19,682	-27,601	-3,2089
29,	-22,045	-25,753	-4,6626
29,	-24,235	-23,704	-8,3328
29,	-26,235	-21,47	-3,23
29,	-28,03	-19,067	-6,8264
29,	-29,605	-16,515	-6,3561
29,	-30,949	-13,834	-6,2217
29,	-32,05	-11,045	-4,2035
29,	-32,901	-8,1688	-4,1575
29,	-33,494	-5,229	-7,4797
29,	-33,825	-2,2483	-4,6737
29,	-33,892	0,74994	-6,8474
29,	-33,693	3,7424	-4,8551
29,	-33,23	6,7055	-5,5115
29,	-32,508	9,6161	-4,2114
29,	-31,53	12,452	-8,1027
29,	-30,307	15,189	-5,4135
29,	-28,846	17,809	-3,6063
29,	-27,159	20,288	-4,4645
29,	-25,259	22,609	-5,6719
29,	-23,162	24,753	-5,8
29,	-20,884	26,703	-5,5158
29,	-18,442	28,445	-5,4476
29,	-15,856	29,963	-3,7408
29,	-13,146	31,247	-2,6212
29,	-10,333	32,287	-1,299
29,	-7,439	33,074	-2,2239
29,	-4,4868	33,602	-1,2666
29,	-1,4995	33,867	0,68856
29,	1,4995	33,867	0,47609
29,	4,4868	33,602	0,29854
29,	7,439	33,074	4,1453e-002
29,	10,333	32,287	-0,41559
29,	13,146	31,247	-0,89713
29,	15,856	29,963	-1,4136
29,	18,442	28,445	-2,3503
29,	20,884	26,703	-3,2573
29,	23,162	24,753	-2,7238
29,	25,259	22,609	-4,3609
29,	27,159	20,288	-3,4993
29,	28,846	17,809	-4,6437
29,	30,307	15,189	-4,7175
29,	31,53	12,452	-3,2015
29,	32,508	9,6161	-6,7298
29,	33,23	6,7055	-6,4021
29,	33,693	3,7424	-4,9356
29,	33,892	0,74994	-6,1694
29,	33,825	-2,2483	-4,7506
29,	33,494	-5,229	-5,4712
29,	32,901	-8,1688	-4,4429
29,	32,05	-11,045	-3,3166
29,	30,949	-13,834	-5,0425
29,	29,605	-16,515	-1,9449
29,	28,03	-19,067	-3,4435
29,	26,235	-21,47	-3,0371
29,	24,235	-23,704	-4,9705
29,	22,045	-25,753	-2,7735
29,	19,682	-27,601	-2,4217
29,	17,166	-29,232	-1,6721
29,	14,515	-30,635	-1,3501
29,	11,751	-31,798	-0,75989
29,	8,8946	-32,712	-0,32264
29,	5,9687	-33,37	4,6676e-002
29,	2,9961	-33,767	0,23605
0,	4,1516e-015	-33,9	-1,327
0,	4,9359	-33,539	-1,1492
0,	9,7666	-32,463	-0,98833
0,	14,389	-30,695	-0,67986
0,	18,705	-28,273	-0,41754
0,	22,622	-25,248	-0,14488
0,	26,057	-21,685	2,0334e-002
0,	28,937	-17,66	0,12452
0,	31,2	-13,258	0,13481
0,	32,798	-8,5744	0,11838
0,	33,697	-3,7077	0,12852
0,	33,877	1,2381	0,12182
0,	33,336	6,1575	7,5278e-002
0,	32,084	10,946	0,16672
0,	30,149	15,501	0,15868
0,	27,571	19,725	8,7987e-002
0,	24,405	23,529	-2,2727e-002
0,	20,719	26,832	-0,26325
0,	16,591	29,562	-0,51089
0,	12,11	31,663	-0,82889
0,	7,3709	33,089	-1,0302
0,	2,4745	33,81	-1,197
0,	-2,4745	33,81	-1,203
0,	-7,3709	33,089	-1,4932
0,	-12,11	31,663	-1,8257
0,	-16,591	29,562	-1,9126
0,	-20,719	26,832	-1,782
0,	-24,405	23,529	-1,625
0,	-27,571	19,725	-1,7608
0,	-30,149	15,501	-2,0167
0,	-32,084	10,946	-2,2905
0,	-33,336	6,1575	-2,1181
0,	-33,877	1,2381	-2,5673
0,	-33,697	-3,7077	-2,2939
0,	-32,798	-8,5744	-2,3297
0,	-31,2	-13,258	-2,146
0,	-28,937	-17,66	-1,8954
0,	-26,057	-21,685	-1,7504
0,	-22,622	-25,248	-1,7984
0,	-18,705	-28,273	-1,7735
0,	-14,389	-30,695	-1,9126
0,	-9,7666	-32,463	-1,7911
0,	-4,9359	-33,539	-1,1965
31,	4,3965e-015	-35,9	0,1992
31,	2,9646	-35,777	-0,14724
31,	5,9089	-35,41	-0,59548
31,	8,8129	-34,801	-1,2862
31,	11,657	-33,955	-2,1869
31,	14,421	-32,876	-3,2561
31,	17,087	-31,573	-4,6232
31,	19,635	-30,054	-6,5275
31,	22,05	-28,33	-8,401
31,	24,314	-26,412	-10,326
31,	26,412	-24,314	-12,836
31,	28,33	-22,05	-17,058
31,	30,054	-19,635	-16,902
31,	31,573	-17,087	-19,076
31,	32,876	-14,421	-21,697
31,	33,955	-11,657	-22,4
31,	34,801	-8,8129	-24,516
31,	35,41	-5,9089	-27,913
31,	35,777	-2,9646	-24,091
31,	35,9	3,4084e-014	-24,742
31,	35,777	2,9646	-24,57
31,	35,41	5,9089	-25,074
31,	34,801	8,8129	-24,684
31,	33,955	11,657	-22,888
31,	32,876	14,421	-23,012
31,	31,573	17,087	-20,378
31,	30,054	19,635	-17,99
31,	28,33	22,05	-16,227
31,	26,412	24,314	-12,597
31,	24,314	26,412	-10,861
31,	22,05	28,33	-8,5276
31,	19,635	30,054	-6,5254
31,	17,087	31,573	-4,7278
31,	14,421	32,876	-3,3439
31,	11,657	33,955	-2,0888
31,	8,8129	34,801	-1,2318
31,	5,9089	35,41	-0,52792
31,	2,9646	35,777	-7,1952e-002
31,	-4,597e-014	35,9	0,27981
31,	-2,9646	35,777	0,66221
31,	-5,9089	35,41	0,95134
31,	-8,8129	34,801	1,6992
31,	-11,657	33,955	3,6108
31,	-14,421	32,876	8,7107
31,	-17,087	31,573	15,496
31,	-19,635	30,054	13,702
31,	-22,05	28,33	12,261
