X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
43,032	63,359	-1,837e-016	0,40499
42,282	62,06	-1,5	-4,4418e-002
41,532	60,761	2,7733e-032	0,18813
42,282	62,06	1,5	-3,8244e-002
42,812	62,978	-1,0607	0,55302
41,751	61,141	-1,0607	9,0582e-002
41,751	61,141	1,0607	9,4352e-002
42,812	62,978	1,0607	0,58413
121,75	17,911	0,	-1,323
120,25	15,313	0,	-1,6931
119,7	17,362	1,5	0,89372
120,73	18,088	0,96898	0,47213
119,59	16,105	0,96898	-3,4075
119,7	17,362	-1,5	1,9121
119,59	16,105	-0,96898	-4,0362
120,73	18,088	-0,96898	0,19862
29,	-4,1516e-015	-33,9	0,31393
29,	-2,9961	-33,767	-0,36056
29,	-5,9687	-33,37	-1,4086
29,	-8,8946	-32,712	-2,1727
29,	-11,751	-31,798	-1,8851
29,	-14,515	-30,635	-2,7283
29,	-17,166	-29,232	-4,2621
29,	-19,682	-27,601	-2,4362
29,	-22,045	-25,753	-3,9825
29,	-24,235	-23,704	-7,0813
29,	-26,235	-21,47	-2,5318
29,	-28,03	-19,067	-5,9252
29,	-29,605	-16,515	-5,3637
29,	-30,949	-13,834	-5,9422
29,	-32,05	-11,045	-3,6005
29,	-32,901	-8,1688	-3,5833
29,	-33,494	-5,229	-6,5271
29,	-33,825	-2,2483	-4,1936
29,	-33,892	0,74994	-6,0626
29,	-33,693	3,7424	-4,2242
29,	-33,23	6,7055	-5,0735
29,	-32,508	9,6161	-3,4696
29,	-31,53	12,452	-7,2429
29,	-30,307	15,189	-4,9094
29,	-28,846	17,809	-2,8555
29,	-27,159	20,288	-3,8314
29,	-25,259	22,609	-5,0633
29,	-23,162	24,753	-4,832
29,	-20,884	26,703	-4,744
29,	-18,442	28,445	-4,8394
29,	-15,856	29,963	-3,0341
29,	-13,146	31,247	-2,0603
29,	-10,333	32,287	-0,93347
29,	-7,439	33,074	-1,9235
29,	-4,4868	33,602	-1,5464
29,	-1,4995	33,867	0,3175
29,	1,4995	33,867	0,2498
29,	4,4868	33,602	5,2962e-002
29,	7,439	33,074	-0,19715
29,	10,333	32,287	-0,6784
29,	13,146	31,247	-1,1623
29,	15,856	29,963	-1,617
29,	18,442	28,445	-2,52
29,	20,884	26,703	-3,3523
29,	23,162	24,753	-2,676
29,	25,259	22,609	-4,1143
29,	27,159	20,288	-3,1394
29,	28,846	17,809	-4,1048
29,	30,307	15,189	-4,0915
29,	31,53	12,452	-2,743
29,	32,508	9,6161	-5,6926
29,	33,23	6,7055	-5,3969
29,	33,693	3,7424	-4,1585
29,	33,892	0,74994	-5,1409
29,	33,825	-2,2483	-4,0029
29,	33,494	-5,229	-4,602
29,	32,901	-8,1688	-3,7815
29,	32,05	-11,045	-2,8734
29,	30,949	-13,834	-4,4317
29,	29,605	-16,515	-1,7007
29,	28,03	-19,067	-3,1317
29,	26,235	-21,47	-2,844
29,	24,235	-23,704	-4,9008
29,	22,045	-25,753	-2,7838
29,	19,682	-27,601	-2,5656
29,	17,166	-29,232	-1,8533
29,	14,515	-30,635	-1,6628
29,	11,751	-31,798	-1,022
29,	8,8946	-32,712	-0,53735
29,	5,9687	-33,37	-0,11018
29,	2,9961	-33,767	0,12298
0,	4,1516e-015	-33,9	-1,2788
0,	4,9359	-33,539	-1,1051
0,	9,7666	-32,463	-0,94595
0,	14,389	-30,695	-0,64914
0,	18,705	-28,273	-0,39703
0,	22,622	-25,248	-0,13659
0,	26,057	-21,685	1,8463e-002
0,	28,937	-17,66	0,11653
0,	31,2	-13,258	0,12451
0,	32,798	-8,5744	0,1098
0,	33,697	-3,7077	0,12001
0,	33,877	1,2381	0,11571
0,	33,336	6,1575	6,9183e-002
0,	32,084	10,946	0,15152
0,	30,149	15,501	0,13845
