X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
43,032	63,359	-1,837e-016	0,15146
42,282	62,06	-1,5	3,3996
41,532	60,761	2,7733e-032	0,1067
42,282	62,06	1,5	3,3798
42,812	62,978	-1,0607	1,4923
41,751	61,141	-1,0607	1,3203
41,751	61,141	1,0607	1,6009
42,812	62,978	1,0607	1,2785
121,75	17,911	0,	2,2662
120,25	15,313	0,	1,8439
119,7	17,362	1,5	4,1535
120,73	18,088	0,96898	1,2572
119,59	16,105	0,96898	2,8745
119,7	17,362	-1,5	3,1575
119,59	16,105	-0,96898	3,5102
120,73	18,088	-0,96898	1,993
29,	-4,1516e-015	-33,9	-8,0718e-002
29,	-2,9961	-33,767	-0,55838
29,	-5,9687	-33,37	-0,84295
29,	-8,8946	-32,712	-1,6618
29,	-11,751	-31,798	-2,7984
29,	-14,515	-30,635	-3,4198
29,	-17,166	-29,232	-3,8645
29,	-19,682	-27,601	-4,5404
29,	-22,045	-25,753	-3,6347
29,	-24,235	-23,704	-3,2613
29,	-26,235	-21,47	-3,4462
29,	-28,03	-19,067	-3,3417
29,	-29,605	-16,515	-3,2226
29,	-30,949	-13,834	-2,8921
29,	-32,05	-11,045	-3,2515
29,	-32,901	-8,1688	-2,6746
29,	-33,494	-5,229	-2,3597
29,	-33,825	-2,2483	-2,7342
29,	-33,892	0,74994	-3,2205
29,	-33,693	3,7424	-3,1014
29,	-33,23	6,7055	-2,3111
29,	-32,508	9,6161	-2,6026
29,	-31,53	12,452	-3,493
29,	-30,307	15,189	-2,2311
29,	-28,846	17,809	-2,8604
29,	-27,159	20,288	-3,2983
29,	-25,259	22,609	-3,678
29,	-23,162	24,753	-3,4829
29,	-20,884	26,703	-4,6291
29,	-18,442	28,445	-2,8857
29,	-15,856	29,963	-3,9845
29,	-13,146	31,247	-3,4823
29,	-10,333	32,287	-1,9864
29,	-7,439	33,074	-0,96927
29,	-4,4868	33,602	-0,25484
29,	-1,4995	33,867	-2,4121e-003
29,	1,4995	33,867	-0,10552
29,	4,4868	33,602	-0,32134
29,	7,439	33,074	-0,64041
29,	10,333	32,287	-0,97968
29,	13,146	31,247	-1,6482
29,	15,856	29,963	-2,2343
29,	18,442	28,445	-3,3271
29,	20,884	26,703	-4,2738
29,	23,162	24,753	-4,5324
29,	25,259	22,609	-5,8881
29,	27,159	20,288	-5,9065
29,	28,846	17,809	-7,1251
29,	30,307	15,189	-6,8957
29,	31,53	12,452	-7,3552
29,	32,508	9,6161	-10,512
29,	33,23	6,7055	-10,684
29,	33,693	3,7424	-8,265
29,	33,892	0,74994	-8,9516
29,	33,825	-2,2483	-8,5749
29,	33,494	-5,229	-8,2445
29,	32,901	-8,1688	-6,8499
29,	32,05	-11,045	-7,4609
29,	30,949	-13,834	-8,2174
29,	29,605	-16,515	-5,4761
29,	28,03	-19,067	-6,3759
29,	26,235	-21,47	-6,3244
29,	24,235	-23,704	-6,0509
29,	22,045	-25,753	-4,3145
29,	19,682	-27,601	-3,5536
29,	17,166	-29,232	-2,525
29,	14,515	-30,635	-1,9395
29,	11,751	-31,798	-1,3846
29,	8,8946	-32,712	-0,8877
29,	5,9687	-33,37	-0,58318
29,	2,9961	-33,767	-0,3174
0,	4,1516e-015	-33,9	-3,3446e-002
0,	4,9359	-33,539	-2,1996e-002
0,	9,7666	-32,463	-1,7267e-002
0,	14,389	-30,695	-4,2368e-002
0,	18,705	-28,273	-2,9692e-002
0,	22,622	-25,248	-3,0906e-002
0,	26,057	-21,685	-1,9993e-002
0,	28,937	-17,66	3,0503e-002
0,	31,2	-13,258	4,2463e-002
0,	32,798	-8,5744	5,8116e-002
0,	33,697	-3,7077	0,11703
0,	33,877	1,2381	0,10839
0,	33,336	6,1575	3,1812e-002
0,	32,084	10,946	9,6162e-002
0,	30,149	15,501	2,607e-002
0,	27,571	19,725	-2,5572e-002
0,	24,405	23,529	-1,0852e-002
0,	20,719	26,832	-1,8211e-002
0,	16,591	29,562	-3,774e-002
0,	12,11	31,663	-2,6403e-002
0,	7,3709	33,089	-2,7759e-002
0,	2,4745	33,81	-2,1782e-002
0,	-2,4745	33,81	-3,8534e-002
0,	-7,3709	33,089	-4,1858e-002
0,	-12,11	31,663	-2,3742e-002
0,	-16,591	29,562	3,0381e-002
0,	-20,719	26,832	4,7384e-003
0,	-24,405	23,529	-0,21641
0,	-27,571	19,725	-3,4115e-003
0,	-30,149	15,501	-0,19582
0,	-32,084	10,946	-9,4719e-002
0,	-33,336	6,1575	2,9919e-004
0,	-33,877	1,2381	-0,18875
0,	-33,697	-3,7077	-4,5161e-002
0,	-32,798	-8,5744	-0,15153
0,	-31,2	-13,258	-6,9049e-002
0,	-28,937	-17,66	-5,0259e-002
0,	-26,057	-21,685	8,6632e-003
0,	-22,622	-25,248	-1,8366e-002
0,	-18,705	-28,273	4,2127e-002
0,	-14,389	-30,695	4,3697e-002
0,	-9,7666	-32,463	-1,0936e-002
