X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
43,032	63,359	-1,837e-016	0,31219
42,282	62,06	-1,5	7,6149e-002
41,532	60,761	2,7733e-032	0,27721
42,282	62,06	1,5	0,25897
42,812	62,978	-1,0607	1,4239
41,751	61,141	-1,0607	-3,9679e-002
41,751	61,141	1,0607	0,59557
42,812	62,978	1,0607	-0,77797
121,75	17,911	0,	-2,5853e-002
120,25	15,313	0,	-6,7626e-002
119,7	17,362	1,5	0,34387
120,73	18,088	0,96898	-0,74928
119,59	16,105	0,96898	-1,2618
119,7	17,362	-1,5	9,292e-002
119,59	16,105	-0,96898	1,2019
120,73	18,088	-0,96898	0,78873
29,	-4,1516e-015	-33,9	0,15637
29,	-2,9961	-33,767	-0,91813
29,	-5,9687	-33,37	-0,52443
29,	-8,8946	-32,712	-0,91059
29,	-11,751	-31,798	-1,3003
29,	-14,515	-30,635	-1,0529
29,	-17,166	-29,232	-1,5888
29,	-19,682	-27,601	-0,59975
29,	-22,045	-25,753	-0,96088
29,	-24,235	-23,704	-2,118
29,	-26,235	-21,47	-0,26234
29,	-28,03	-19,067	-1,3113
29,	-29,605	-16,515	-0,77824
29,	-30,949	-13,834	-1,3487
29,	-32,05	-11,045	0,32431
29,	-32,901	-8,1688	-0,30179
29,	-33,494	-5,229	-0,24153
29,	-33,825	-2,2483	6,7961e-002
29,	-33,892	0,74994	-0,19565
29,	-33,693	3,7424	0,28619
29,	-33,23	6,7055	0,90057
29,	-32,508	9,6161	-9,1043e-002
29,	-31,53	12,452	1,2423
29,	-30,307	15,189	0,6309
29,	-28,846	17,809	0,40917
29,	-27,159	20,288	0,66433
29,	-25,259	22,609	1,4018
29,	-23,162	24,753	1,4763
29,	-20,884	26,703	1,2984
29,	-18,442	28,445	2,3606
29,	-15,856	29,963	1,0622
29,	-13,146	31,247	1,5428
29,	-10,333	32,287	0,42927
29,	-7,439	33,074	0,81812
29,	-4,4868	33,602	0,8861
29,	-1,4995	33,867	-0,16895
29,	1,4995	33,867	-6,0755e-002
29,	4,4868	33,602	-3,6504e-002
29,	7,439	33,074	-4,2389e-002
29,	10,333	32,287	4,4807e-002
29,	13,146	31,247	0,18186
29,	15,856	29,963	0,4134
29,	18,442	28,445	0,82374
29,	20,884	26,703	0,90045
29,	23,162	24,753	1,6393
29,	25,259	22,609	1,6317
29,	27,159	20,288	2,5464
29,	28,846	17,809	2,2883
29,	30,307	15,189	2,2432
29,	31,53	12,452	2,596
29,	32,508	9,6161	1,752
29,	33,23	6,7055	1,0257
29,	33,693	3,7424	0,57434
29,	33,892	0,74994	0,21912
29,	33,825	-2,2483	-0,59627
29,	33,494	-5,229	-1,2958
29,	32,901	-8,1688	-1,6002
29,	32,05	-11,045	-2,2424
29,	30,949	-13,834	-2,5546
29,	29,605	-16,515	-2,9324
29,	28,03	-19,067	-2,5374
29,	26,235	-21,47	-2,2829
29,	24,235	-23,704	-1,4853
29,	22,045	-25,753	-1,3963
29,	19,682	-27,601	-0,98063
29,	17,166	-29,232	-0,55572
29,	14,515	-30,635	-0,25509
29,	11,751	-31,798	-9,9793e-002
29,	8,8946	-32,712	-8,0753e-003
29,	5,9687	-33,37	8,5779e-002
29,	2,9961	-33,767	4,7158e-002
0,	4,1516e-015	-33,9	9,9391e-002
0,	4,9359	-33,539	-0,12239
0,	9,7666	-32,463	-0,24264
0,	14,389	-30,695	-0,27167
0,	18,705	-28,273	-0,23143
0,	22,622	-25,248	-9,4451e-002
0,	26,057	-21,685	6,4179e-002
0,	28,937	-17,66	0,20309
0,	31,2	-13,258	0,26295
0,	32,798	-8,5744	0,21618
0,	33,697	-3,7077	0,11238
0,	33,877	1,2381	-4,2069e-002
0,	33,336	6,1575	-0,18019
0,	32,084	10,946	-0,26874
0,	30,149	15,501	-0,25567
0,	27,571	19,725	-0,162
0,	24,405	23,529	-1,5035e-003
0,	20,719	26,832	0,15634
0,	16,591	29,562	0,24431
0,	12,11	31,663	0,26637
0,	7,3709	33,089	0,16755
0,	2,4745	33,81	2,4258e-002
0,	-2,4745	33,81	-0,175
0,	-7,3709	33,089	-0,23523
0,	-12,11	31,663	-0,40544
0,	-16,591	29,562	-0,41113
0,	-20,719	26,832	-0,33287
0,	-24,405	23,529	-0,25249
0,	-27,571	19,725	-0,15888
0,	-30,149	15,501	1,3763e-002
0,	-32,084	10,946	7,2061e-002
0,	-33,336	6,1575	5,5326e-002
0,	-33,877	1,2381	1,7028e-002
0,	-33,697	-3,7077	-4,181e-002
0,	-32,798	-8,5744	-7,1844e-002
0,	-31,2	-13,258	-7,4102e-002
0,	-28,937	-17,66	0,1447
0,	-26,057	-21,685	0,13829
0,	-22,622	-25,248	0,29297
0,	-18,705	-28,273	0,44962
0,	-14,389	-30,695	0,43477
0,	-9,7666	-32,463	0,34665
0,	-4,9359	-33,539	0,35046
31,	4,3965e-015	-35,9	-0,39221
31,	2,9646	-35,777	-0,23929
31,	5,9089	-35,41	-0,14519
31,	8,8129	-34,801	-0,1255
31,	11,657	-33,955	-7,4329e-002
31,	14,421	-32,876	1,0835e-002
31,	17,087	-31,573	9,5376e-002
31,	19,635	-30,054	0,36942
31,	22,05	-28,33	0,52487
31,	24,314	-26,412	0,46599
31,	26,412	-24,314	0,98281
31,	28,33	-22,05	1,3665
31,	30,054	-19,635	1,4726
31,	31,573	-17,087	1,4457
31,	32,876	-14,421	1,791
31,	33,955	-11,657	1,9653
31,	34,801	-8,8129	1,094
31,	35,41	-5,9089	0,76326
31,	35,777	-2,9646	0,44571
31,	35,9	3,4084e-014	-0,13118
31,	35,777	2,9646	-0,82235
31,	35,41	5,9089	-1,3232
31,	34,801	8,8129	-1,4319
31,	33,955	11,657	-1,9208
31,	32,876	14,421	-2,0489
31,	31,573	17,087	-2,0656
31,	30,054	19,635	-1,8244
31,	28,33	22,05	-1,5972
31,	26,412	24,314	-0,94017
31,	24,314	26,412	-0,7889
31,	22,05	28,33	-0,50126
31,	19,635	30,054	-0,31689
31,	17,087	31,573	-0,10229
31,	14,421	32,876	1,1314e-002
31,	11,657	33,955	0,1092
31,	8,8129	34,801	0,1289
31,	5,9089	35,41	0,17294
31,	2,9646	35,777	0,25552
31,	-4,597e-014	35,9	0,36053
31,	-2,9646	35,777	0,58205
31,	-5,9089	35,41	0,73325
31,	-8,8129	34,801	0,77081
31,	-11,657	33,955	0,7726
31,	-14,421	32,876	0,51676
31,	-17,087	31,573	-8,433
31,	-19,635	30,054	-4,5875
31,	-22,05	28,33	-4,0801
31,	-24,314	26,412	-5,2421
31,	-26,412	24,314	-4,0399
31,	-28,33	22,05	-3,1654
31,	-30,054	19,635	-3,0566
31,	-31,573	17,087	-2,2518
