X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
43,032	63,359	-1,837e-016	0,20063
42,282	62,06	-1,5	-0,14263
41,532	60,761	2,7733e-032	4,2537e-002
42,282	62,06	1,5	-0,12331
42,812	62,978	-1,0607	0,35712
41,751	61,141	-1,0607	-0,14404
41,751	61,141	1,0607	-0,14535
42,812	62,978	1,0607	0,37545
121,75	17,911	0,	1,8663
120,25	15,313	0,	1,5224
119,7	17,362	1,5	3,6568
120,73	18,088	0,96898	1,0658
119,59	16,105	0,96898	2,3395
119,7	17,362	-1,5	2,8628
119,59	16,105	-0,96898	2,8678
120,73	18,088	-0,96898	1,6878
29,	-4,1516e-015	-33,9	-0,28552
29,	-2,9961	-33,767	-0,47456
29,	-5,9687	-33,37	-0,83612
29,	-8,8946	-32,712	-1,5471
29,	-11,751	-31,798	-2,5904
29,	-14,515	-30,635	-3,2164
29,	-17,166	-29,232	-3,5929
29,	-19,682	-27,601	-4,1778
29,	-22,045	-25,753	-3,3666
29,	-24,235	-23,704	-2,8231
29,	-26,235	-21,47	-3,1403
29,	-28,03	-19,067	-2,9531
29,	-29,605	-16,515	-2,9476
29,	-30,949	-13,834	-2,5852
29,	-32,05	-11,045	-2,8494
29,	-32,901	-8,1688	-2,403
29,	-33,494	-5,229	-2,0335
29,	-33,825	-2,2483	-2,392
29,	-33,892	0,74994	-2,8182
29,	-33,693	3,7424	-2,7381
29,	-33,23	6,7055	-2,1212
29,	-32,508	9,6161	-2,3629
29,	-31,53	12,452	-3,1558
29,	-30,307	15,189	-2,1059
29,	-28,846	17,809	-2,7233
29,	-27,159	20,288	-3,1298
29,	-25,259	22,609	-3,5087
29,	-23,162	24,753	-3,3334
29,	-20,884	26,703	-4,46
29,	-18,442	28,445	-2,8915
29,	-15,856	29,963	-3,9596
29,	-13,146	31,247	-3,4897
29,	-10,333	32,287	-2,0618
29,	-7,439	33,074	-1,1523
29,	-4,4868	33,602	-0,53715
29,	-1,4995	33,867	-0,28515
29,	1,4995	33,867	-0,3541
29,	4,4868	33,602	-0,64266
29,	7,439	33,074	-0,99852
29,	10,333	32,287	-1,3422
29,	13,146	31,247	-2,0763
29,	15,856	29,963	-2,5891
29,	18,442	28,445	-3,686
29,	20,884	26,703	-4,4534
29,	23,162	24,753	-4,3609
29,	25,259	22,609	-5,5333
29,	27,159	20,288	-5,3077
29,	28,846	17,809	-6,2778
29,	30,307	15,189	-5,9132
29,	31,53	12,452	-6,2413
29,	32,508	9,6161	-8,8408
29,	33,23	6,7055	-8,9291
29,	33,693	3,7424	-6,9457
29,	33,892	0,74994	-7,4279
29,	33,825	-2,2483	-7,1444
29,	33,494	-5,229	-6,9213
29,	32,901	-8,1688	-5,7595
29,	32,05	-11,045	-6,3587
29,	30,949	-13,834	-7,1188
29,	29,605	-16,515	-4,7738
29,	28,03	-19,067	-5,7637
29,	26,235	-21,47	-5,9469
29,	24,235	-23,704	-6,0332
29,	22,045	-25,753	-4,4147
29,	19,682	-27,601	-3,8125
29,	17,166	-29,232	-2,8048
29,	14,515	-30,635	-2,3304
29,	11,751	-31,798	-1,7874
29,	8,8946	-32,712	-1,1959
29,	5,9687	-33,37	-0,83433
29,	2,9961	-33,767	-0,51978
0,	4,1516e-015	-33,9	-2,5593e-002
0,	4,9359	-33,539	-1,4675e-002
0,	9,7666	-32,463	-1,3578e-002
0,	14,389	-30,695	-3,9058e-002
0,	18,705	-28,273	-2,7893e-002
0,	22,622	-25,248	-2,6533e-002
0,	26,057	-21,685	-1,776e-002
0,	28,937	-17,66	3,1078e-002
0,	31,2	-13,258	4,1786e-002
0,	32,798	-8,5744	5,5777e-002
0,	33,697	-3,7077	0,10924
0,	33,877	1,2381	0,10109
0,	33,336	6,1575	3,019e-002
0,	32,084	10,946	8,8883e-002
0,	30,149	15,501	2,5143e-002
0,	27,571	19,725	-2,3299e-002
0,	24,405	23,529	-9,2669e-003
0,	20,719	26,832	-1,6762e-002
0,	16,591	29,562	-3,553e-002
0,	12,11	31,663	-2,4199e-002
0,	7,3709	33,089	-2,5729e-002
0,	2,4745	33,81	-1,97e-002
0,	-2,4745	33,81	-3,4212e-002
0,	-7,3709	33,089	-2,0747e-002
0,	-12,11	31,663	-1,713e-002
0,	-16,591	29,562	4,6764e-002
0,	-20,719	26,832	2,6042e-003
0,	-24,405	23,529	-0,30838
0,	-27,571	19,725	6,312e-002
0,	-30,149	15,501	-0,20055
0,	-32,084	10,946	-8,9341e-002
0,	-33,336	6,1575	-0,17281
0,	-33,877	1,2381	-0,55912
0,	-33,697	-3,7077	-0,27183
